session_id	gender	pitch_variant	vowel	f0	f1	f2	f3	sr	log_f1_sr	log_f2_f1	log_f3_f2
1133	f	n	a	237.5597374765	914.1660756459	1436.5577447497	2886.5853195709	188.5661786459	0.6855613007	0.1962979871	0.3030613107
1133	f	n	i	267.1708221288	412.5175241256	2909.2138316936	3673.816534994	196.0962085268	0.3229732057	0.8483332412	0.1013418207
1133	f	n	u	238.9418217303	514.4312524055	1151.2633120654	2149.1524508707	188.9311543109	0.4350237667	0.3498473203	0.2710925584
1134	f	n	a	254.9428024691	758.8940615986	1426.2782859449	3093.4728294476	193.0576904049	0.5944940481	0.274023116	0.3362420354
1134	f	n	i	254.5255564163	379.3645056191	2539.2378877823	3027.7755387416	192.9523118085	0.2936067083	0.8256466949	0.0764202865
1134	f	n	u	253.3106674209	384.9966958083	754.0490051773	2826.10923513	192.644825201	0.3006996547	0.2919425691	0.5737893729
1135	f	n	a	261.8595190759	925.0666593078	1564.8518067179	2990.1229308489	194.7880499326	0.6766107189	0.228300187	0.2812158279
1135	f	n	i	266.9524779308	366.4350763291	2666.1937483233	3550.1868136462	196.0427743753	0.2716461991	0.8618946667	0.1243595008
1135	f	n	u	265.9828986094	392.0544669102	888.5362869231	2546.8418272898	195.8051420555	0.3015223137	0.3553287623	0.4573268051
1137	f	n	a	250.8744305462	814.9230913588	1377.8492595898	3020.4257294839	192.025241977	0.6277583029	0.2280850832	0.340866454
1137	f	n	i	253.9135661162	304.1612657064	2878.0188373811	3298.1757294314	192.7975405627	0.1980024173	0.9759897254	0.0591801593
1137	f	n	u	257.1327406229	286.7023089554	803.3853199101	2917.4237867829	193.6088984678	0.1705058765	0.4474927011	0.5600756279
1139	f	n	a	213.6006745416	717.0084186322	1275.1030737582	2971.0401358933	182.0009805351	0.5954505271	0.2500210378	0.3673632261
1139	f	n	i	217.8504678391	348.182708488	2448.4997165068	3136.4479375895	183.2000917329	0.2788815125	0.8470928588	0.1075380249
1139	f	n	u	214.7105665193	359.0293301687	637.9783837432	2672.347889901	182.315668307	0.2943059351	0.2496760352	0.6220870305
114	f	n	a	228.8076583289	851.59196539	1589.4432081624	2886.4351606912	186.2214511615	0.6602018487	0.2710134596	0.2591167913
114	f	n	i	230.9724520783	290.3919195614	2733.0247693082	3526.8457917224	186.8069011272	0.1915916114	0.9736590402	0.1107429032
114	f	n	u	231.0593559145	419.5586634547	620.6489005001	2985.8688863069	186.8303270099	0.3513453193	0.1700532971	0.682224743
1144	f	n	a	203.7120711916	772.4826890401	1189.231166649	2872.3095931754	179.1479223907	0.6346769799	0.1873775265	0.3829649663
1144	f	n	i	213.1752089384	230.2108789203	2557.3481155323	3620.3135346096	181.8800592135	0.102340756	1.0456640069	0.1509563341
1144	f	n	u	204.5975562492	297.6782941105	818.1595367903	2424.4293536292	179.4071174976	0.2199074997	0.4390908288	0.4717715365
1145	f	n	a	216.1537028882	811.3114557549	1413.2898553512	2968.5715680981	182.7232232991	0.6473938605	0.2410436333	0.322316282
1145	f	n	i	214.8331497376	290.8063101285	2682.6323328842	3249.0481568333	182.3503577806	0.2026972062	0.9649573288	0.0831949937
1145	f	n	u	217.5975413369	398.0417256389	835.3048130717	2743.806164345	183.1291652503	0.3371710846	0.3219163835	0.5165084436
1146	f	n	a	230.0992422381	674.0235392096	1200.6773963781	2936.4256458986	186.5711910235	0.5578304799	0.250751271	0.3883926736
